club_id,club_name,competition_id,competition_name,country_name,season,season_label,matches_played,wins,points_earned,points_per_match,win_percentage,goal_difference,players_with_minutes,players_with_eligible_valuation,valuation_coverage_percentage,estimated_squad_value_eur,estimated_squad_value_millions_eur,expected_points_per_match,performance_residual,league_season_model_r_squared,eligible_club_count,efficiency_rank_within_league_season,efficiency_rank_across_leagues
583,Paris Saint-Germain,FR1,ligue-1,France,2020,2020-21,38,26,82,2.16,68.42,58,33,32,96.97,803500000,803.5,2.305,-0.145,0.811,20,16,76
984,West Bromwich Albion,GB1,premier-league,England,2020,2020-21,38,5,26,0.68,13.16,-41,30,30,100,137400000,137.4,0.83,-0.15,0.762,20,17,77
681,Real Sociedad,ES1,laliga,Spain,2020,2020-21,38,17,62,1.63,44.74,21,29,29,100,400350000,400.35,1.796,-0.166,0.82,20,16,78
533,TSG 1899 Hoffenheim,L1,bundesliga,Germany,2020,2020-21,34,11,43,1.26,32.35,-2,30,30,100,225100000,225.1,1.429,-0.169,0.605,18,15,79
618,AS Saint-Étienne,FR1,ligue-1,France,2020,2020-21,38,12,46,1.21,31.58,-12,40,36,90,153750000,153.75,1.39,-0.18,0.811,20,17,80
86,SV Werder Bremen,L1,bundesliga,Germany,2020,2020-21,34,7,31,0.91,20.59,-21,27,27,100,109350000,109.35,1.095,-0.185,0.605,18,16,81
273,Stade Rennais FC,FR1,ligue-1,France,2020,2020-21,38,16,58,1.53,42.11,12,32,30,93.75,290300000,290.3,1.742,-0.212,0.811,20,18,82
410,Udinese Calcio,IT1,serie-a,Italy,2020,2020-21,38,10,40,1.05,26.32,-16,33,33,100,167100000,167.1,1.267,-0.217,0.74,20,16,83
1533,SD Eibar,ES1,laliga,Spain,2020,2020-21,38,6,30,0.79,15.79,-23,30,26,86.67,81300000,81.3,1.022,-0.232,0.82,20,17,84
350,Sheffield United,GB1,premier-league,England,2020,2020-21,38,7,23,0.61,18.42,-43,26,26,100,143150000,143.15,0.854,-0.244,0.762,20,18,85
621,Athletic Bilbao,ES1,laliga,Spain,2020,2020-21,38,11,46,1.21,28.95,4,27,27,100,199700000,199.7,1.458,-0.248,0.82,20,18,86
417,OGC Nice,FR1,ligue-1,France,2020,2020-21,38,15,52,1.37,39.47,-3,31,31,100,234050000,234.05,1.622,-0.252,0.811,20,19,87
1049,Valencia CF,ES1,laliga,Spain,2020,2020-21,38,10,43,1.13,26.32,-3,24,24,100,175800000,175.8,1.397,-0.267,0.82,20,19,88
543,Wolverhampton Wanderers,GB1,premier-league,England,2020,2020-21,38,12,45,1.18,31.58,-16,27,27,100,404400000,404.4,1.47,-0.29,0.762,20,19,89
416,Torino FC,IT1,serie-a,Italy,2020,2020-21,38,7,37,0.97,18.42,-19,29,29,100,171900000,171.9,1.284,-0.314,0.74,20,17,90
2969,Dijon FCO,FR1,ligue-1,France,2020,2020-21,38,4,21,0.55,10.53,-48,33,31,93.94,63400000,63.4,0.9,-0.35,0.811,20,20,91
1390,Cagliari Calcio,IT1,serie-a,Italy,2020,2020-21,38,9,37,0.97,23.68,-16,32,32,100,184850000,184.85,1.327,-0.357,0.74,20,18,92
931,Fulham FC,GB1,premier-league,England,2020,2020-21,38,5,28,0.74,13.16,-26,28,28,100,219100000,219.1,1.107,-0.367,0.762,20,20,93
3709,Getafe CF,ES1,laliga,Spain,2020,2020-21,38,9,38,1,23.68,-15,31,30,96.77,169800000,169.8,1.38,-0.38,0.82,20,20,94
44,Hertha BSC,L1,bundesliga,Germany,2020,2020-21,34,8,35,1.03,23.53,-11,32,32,100,217100000,217.1,1.413,-0.383,0.605,18,17,95
430,ACF Fiorentina,IT1,serie-a,Italy,2020,2020-21,38,9,40,1.05,23.68,-12,30,30,100,284300000,284.3,1.583,-0.533,0.74,20,19,96
130,Parma Calcio 1913,IT1,serie-a,Italy,2020,2020-21,38,3,20,0.53,7.89,-44,42,41,97.62,126250000,126.25,1.101,-0.571,0.74,20,20,97
33,FC Schalke 04,L1,bundesliga,Germany,2020,2020-21,34,3,16,0.47,8.82,-61,42,42,100,121100000,121.1,1.142,-0.672,0.605,18,18,98
89,1.FC Union Berlin,L1,bundesliga,Germany,2021,2021-22,34,16,57,1.68,47.06,6,27,27,100,95500000,95.5,1.157,0.523,0.595,18,1,1
667,RC Strasbourg Alsace,FR1,ligue-1,France,2021,2021-22,38,17,63,1.66,44.74,17,24,24,100,116300000,116.3,1.243,0.417,0.761,20,1,2
31,Liverpool FC,GB1,premier-league,England,2021,2021-22,38,28,92,2.42,73.68,68,25,25,100,886000000,886,2.025,0.395,0.775,20,1,3
3,1.FC Köln,L1,bundesliga,Germany,2021,2021-22,34,14,52,1.53,41.18,3,23,23,100,91800000,91.8,1.141,0.389,0.595,18,2,4
281,Manchester City,GB1,premier-league,England,2021,2021-22,38,29,93,2.45,76.32,73,22,21,95.45,969500000,969.5,2.092,0.358,0.775,20,2,5
80,VfL Bochum,L1,bundesliga,Germany,2021,2021-22,34,12,42,1.24,35.29,-14,27,27,100,50850000,50.85,0.909,0.331,0.595,18,3,6
418,Real Madrid,ES1,laliga,Spain,2021,2021-22,38,26,86,2.26,68.42,49,26,26,100,750000000,750,1.954,0.306,0.821,20,1,7
1132,Burnley FC,GB1,premier-league,England,2021,2021-22,38,7,35,0.92,18.42,-19,23,23,100,135900000,135.9,0.622,0.298,0.775,20,3,8
5,AC Milan,IT1,serie-a,Italy,2021,2021-22,38,26,86,2.26,68.42,38,27,27,100,526100000,526.1,1.977,0.283,0.867,20,1,9
27,Bayern Munich,L1,bundesliga,Germany,2021,2021-22,34,24,77,2.26,70.59,60,28,28,100,781000000,781,1.984,0.276,0.595,18,4,10
826,RC Lens,FR1,ligue-1,France,2021,2021-22,38,17,62,1.63,44.74,14,24,24,100,150250000,150.25,1.368,0.262,0.761,20,2,11
995,FC Nantes,FR1,ligue-1,France,2021,2021-22,38,15,55,1.45,39.47,7,23,23,100,109250000,109.25,1.213,0.237,0.761,20,3,12
46,Inter Milan,IT1,serie-a,Italy,2021,2021-22,38,25,84,2.21,65.79,52,26,26,100,528300000,528.3,1.98,0.23,0.867,20,2,13
60,SC Freiburg,L1,bundesliga,Germany,2021,2021-22,34,15,55,1.62,44.12,12,26,26,100,172800000,172.8,1.39,0.23,0.595,18,5,14
873,Crystal Palace,GB1,premier-league,England,2021,2021-22,38,11,48,1.26,28.95,4,22,22,100,242500000,242.5,1.055,0.205,0.775,20,4,15
150,Real Betis Balompié,ES1,laliga,Spain,2021,2021-22,38,19,65,1.71,50,22,27,27,100,251500000,251.5,1.507,0.203,0.821,20,2,16
244,Olympique Marseille,FR1,ligue-1,France,2021,2021-22,38,21,71,1.87,55.26,25,26,26,100,279600000,279.6,1.67,0.2,0.761,20,4,17
3522,Spezia Calcio,IT1,serie-a,Italy,2021,2021-22,38,10,36,0.95,26.32,-30,28,28,100,74950000,74.95,0.754,0.196,0.867,20,3,18
16,Borussia Dortmund,L1,bundesliga,Germany,2021,2021-22,34,22,69,2.03,64.71,33,30,30,100,547700000,547.7,1.844,0.186,0.595,18,6,19
367,Rayo Vallecano,ES1,laliga,Spain,2021,2021-22,38,11,42,1.11,28.95,-11,23,23,100,60900000,60.9,0.927,0.183,0.821,20,3,20
6195,SSC Napoli,IT1,serie-a,Italy,2021,2021-22,38,24,79,2.08,63.16,43,26,26,100,469950000,469.95,1.906,0.174,0.867,20,4,21
276,Hellas Verona,IT1,serie-a,Italy,2021,2021-22,38,14,53,1.39,36.84,6,28,28,100,156750000,156.75,1.217,0.173,0.867,20,5,22
368,Sevilla FC,ES1,laliga,Spain,2021,2021-22,38,18,70,1.84,47.37,23,28,28,100,374100000,374.1,1.67,0.17,0.821,20,4,23
1237,Brighton & Hove Albion,GB1,premier-league,England,2021,2021-22,38,12,51,1.34,31.58,-2,26,26,100,289600000,289.6,1.188,0.152,0.775,20,5,24
398,Società Sportiva Lazio S.p.A.,IT1,serie-a,Italy,2021,2021-22,38,18,64,1.68,47.37,19,26,26,100,259600000,259.6,1.534,0.146,0.867,20,6,25
380,US Salernitana 1919,IT1,serie-a,Italy,2021,2021-22,38,7,31,0.82,18.42,-45,34,34,100,66250000,66.25,0.676,0.144,0.867,20,7,26
379,West Ham United,GB1,premier-league,England,2021,2021-22,38,16,56,1.47,42.11,9,22,22,100,350200000,350.2,1.33,0.14,0.775,20,6,27
1531,Elche CF,ES1,laliga,Spain,2021,2021-22,38,11,42,1.11,28.95,-12,25,25,100,68100000,68.1,0.972,0.138,0.821,20,5,28
417,OGC Nice,FR1,ligue-1,France,2021,2021-22,38,20,67,1.76,52.63,16,26,26,100,256300000,256.3,1.628,0.132,0.761,20,5,29
15,Bayer 04 Leverkusen,L1,bundesliga,Germany,2021,2021-22,34,19,64,1.88,55.88,33,29,29,100,447100000,447.1,1.764,0.116,0.595,18,7,30
11,Arsenal FC,GB1,premier-league,England,2021,2021-22,38,22,69,1.82,57.89,13,26,26,100,581500000,581.5,1.71,0.11,0.775,20,7,31
410,Udinese Calcio,IT1,serie-a,Italy,2021,2021-22,38,11,47,1.24,28.95,3,25,25,100,137300000,137.3,1.134,0.106,0.867,20,8,32
2687,Cádiz CF,ES1,laliga,Spain,2021,2021-22,38,8,39,1.03,21.05,-16,25,25,100,61500000,61.5,0.931,0.099,0.821,20,6,33
3524,Clermont Foot 63,FR1,ligue-1,France,2021,2021-22,38,9,36,0.95,23.68,-31,24,24,100,51900000,51.9,0.851,0.099,0.761,20,6,34
3911,Stade Brestois 29,FR1,ligue-1,France,2021,2021-22,38,13,48,1.26,34.21,-8,24,24,100,98800000,98.8,1.164,0.096,0.761,20,7,35
331,CA Osasuna,ES1,laliga,Spain,2021,2021-22,38,12,47,1.24,31.58,-14,24,24,100,104600000,104.6,1.148,0.092,0.821,20,7,36
1148,Brentford FC,GB1,premier-league,England,2021,2021-22,38,13,46,1.21,34.21,-8,28,28,100,267300000,267.3,1.128,0.082,0.775,20,8,37
39,1.FSV Mainz 05,L1,bundesliga,Germany,2021,2021-22,34,13,46,1.35,38.24,5,25,25,100,127400000,127.4,1.27,0.08,0.595,18,8,38
1095,ESTAC Troyes,FR1,ligue-1,France,2021,2021-22,38,9,38,1,23.68,-16,28,28,100,60250000,60.25,0.924,0.076,0.761,20,8,39
148,Tottenham Hotspur,GB1,premier-league,England,2021,2021-22,38,22,71,1.87,57.89,29,24,24,100,661000000,661,1.806,0.064,0.775,20,9,40
237,RCD Mallorca,ES1,laliga,Spain,2021,2021-22,38,10,39,1.03,26.32,-27,29,29,100,68800000,68.8,0.977,0.053,0.821,20,8,41
762,Newcastle United,GB1,premier-league,England,2021,2021-22,38,13,49,1.29,34.21,-18,29,29,100,311600000,311.6,1.243,0.047,0.775,20,10,42
273,Stade Rennais FC,FR1,ligue-1,France,2021,2021-22,38,20,66,1.74,52.63,42,26,26,100,294900000,294.9,1.696,0.044,0.761,20,9,43
583,Paris Saint-Germain,FR1,ligue-1,France,2021,2021-22,38,26,86,2.26,68.42,54,34,34,100,868300000,868.3,2.221,0.039,0.761,20,10,44
749,FC Empoli,IT1,serie-a,Italy,2021,2021-22,38,10,41,1.08,26.32,-20,26,26,100,118800000,118.8,1.043,0.037,0.867,20,9,45
1158,FC Lorient,FR1,ligue-1,France,2021,2021-22,38,8,36,0.95,21.05,-28,27,27,100,59350000,59.35,0.916,0.034,0.761,20,11,46
940,Celta de Vigo,ES1,laliga,Spain,2021,2021-22,38,12,46,1.21,31.58,0,21,20,95.24,113200000,113.2,1.18,0.03,0.821,20,9,47
1038,UC Sampdoria,IT1,serie-a,Italy,2021,2021-22,38,10,36,0.95,26.32,-17,31,31,100,98300000,98.3,0.924,0.026,0.867,20,10,48
162,AS Monaco,FR1,ligue-1,France,2021,2021-22,38,20,69,1.82,52.63,25,25,25,100,376100000,376.1,1.814,0.006,0.761,20,12,49
621,Athletic Bilbao,ES1,laliga,Spain,2021,2021-22,38,14,55,1.45,36.84,7,24,24,100,219000000,219,1.451,-0.001,0.821,20,10,50
1420,Angers SCO,FR1,ligue-1,France,2021,2021-22,38,10,41,1.08,26.32,-11,27,27,100,84500000,84.5,1.088,-0.008,0.761,20,13,52
131,FC Barcelona,ES1,laliga,Spain,2021,2021-22,38,21,73,1.92,55.26,30,31,31,100,703000000,703,1.928,-0.008,0.821,20,11,51
631,Chelsea FC,GB1,premier-league,England,2021,2021-22,38,21,74,1.95,55.26,43,26,26,100,811500000,811.5,1.959,-0.009,0.775,20,11,53
681,Real Sociedad,ES1,laliga,Spain,2021,2021-22,38,17,62,1.63,44.74,3,26,26,100,355700000,355.7,1.649,-0.019,0.821,20,12,54
180,Southampton FC,GB1,premier-league,England,2021,2021-22,38,9,40,1.05,23.68,-24,24,24,100,247150000,247.15,1.069,-0.019,0.775,20,12,55
13,Atlético de Madrid,ES1,laliga,Spain,2021,2021-22,38,21,71,1.87,55.26,22,23,23,100,643000000,643,1.891,-0.021,0.821,20,13,57
1010,Watford FC,GB1,premier-league,England,2021,2021-22,38,6,23,0.61,15.79,-43,27,27,100,137600000,137.6,0.631,-0.021,0.775,20,13,56
543,Wolverhampton Wanderers,GB1,premier-league,England,2021,2021-22,38,15,51,1.34,39.47,-5,25,25,100,365600000,365.6,1.362,-0.022,0.775,20,14,58
167,FC Augsburg,L1,bundesliga,Germany,2021,2021-22,34,10,38,1.12,29.41,-17,25,25,100,92300000,92.3,1.143,-0.023,0.595,18,9,59
430,ACF Fiorentina,IT1,serie-a,Italy,2021,2021-22,38,19,62,1.63,50,8,27,27,100,316200000,316.2,1.658,-0.028,0.867,20,11,60
607,Venezia FC,IT1,serie-a,Italy,2021,2021-22,38,6,27,0.71,15.79,-35,30,30,100,74350000,74.35,0.749,-0.039,0.867,20,12,61
3368,Levante UD,ES1,laliga,Spain,2021,2021-22,38,8,35,0.92,21.05,-25,28,28,100,73900000,73.9,1.006,-0.086,0.821,20,14,62
1108,Deportivo Alavés,ES1,laliga,Spain,2021,2021-22,38,8,31,0.82,21.05,-34,26,26,100,58200000,58.2,0.908,-0.088,0.821,20,15,63
23826,RB Leipzig,L1,bundesliga,Germany,2021,2021-22,34,17,58,1.71,50,35,28,28,100,498000000,498,1.807,-0.097,0.595,18,10,64
1025,Bologna Football Club 1909,IT1,serie-a,Italy,2021,2021-22,38,12,46,1.21,31.58,-11,29,29,100,181300000,181.3,1.308,-0.098,0.867,20,14,66
416,Torino FC,IT1,serie-a,Italy,2021,2021-22,38,13,50,1.32,34.21,5,30,30,100,215800000,215.8,1.418,-0.098,0.867,20,13,65
12,Associazione Sportiva Roma,IT1,serie-a,Italy,2021,2021-22,38,18,63,1.66,47.37,16,27,27,100,372600000,372.6,1.761,-0.101,0.867,20,15,67
16795,Granada CF,ES1,laliga,Spain,2021,2021-22,38,8,38,1,21.05,-17,29,29,100,93300000,93.3,1.101,-0.101,0.821,20,16,68
533,TSG 1899 Hoffenheim,L1,bundesliga,Germany,2021,2021-22,34,13,46,1.35,38.24,-2,30,30,100,206200000,206.2,1.46,-0.11,0.595,18,11,69
714,RCD Espanyol Barcelona,ES1,laliga,Spain,2021,2021-22,38,10,42,1.11,26.32,-13,26,26,100,126300000,126.3,1.225,-0.115,0.821,20,17,70
1123,Norwich City,GB1,premier-league,England,2021,2021-22,38,5,22,0.58,13.16,-61,27,27,100,152400000,152.4,0.708,-0.128,0.775,20,15,71
1421,Stade Reims,FR1,ligue-1,France,2021,2021-22,38,11,46,1.21,28.95,-1,32,32,100,141900000,141.9,1.34,-0.13,0.761,20,14,72
