player_id,player_name,age,position,sub_position,club,league,league_country,minutes_played,appearances,goals,assists,goal_contributions,goal_contributions_per_90,availability_percentage,availability_percentile,performance_percentile,estimated_market_value_eur,position_age_median_market_value_eur,value_percentile,position_market_value_limit,previous_performance_percentile,yoy_performance_percentile_change,market_value_trend_eur,market_value_trend_percentage,qualified_seasons,average_performance_percentile,performance_percentile_stddev,minimum_performance_percentile,total_qualified_minutes,recruitment_score,recruitment_opportunity_classification,position_shortlist_rank,overall_shortlist_rank
745200,Maghnes Akliouche,23,Attack,Right Winger,AS Monaco,ligue-1,France,2408,32,5,10,15,0.561,78.69,83.33,66.67,45000000,20000000,61.33,60000000,76.47,-9.8,20000000,80,2,71.57,6.93,66.67,4027,61.83,Recruitment watchlist,39,161
656681,Victor Boniface,24,Attack,Centre-Forward,Bayer 04 Leverkusen,bundesliga,Germany,1011,19,8,2,10,0.89,33.04,8.7,92.75,40000000,18000000,54.55,60000000,98.48,-5.73,0,0,2,95.62,4.05,92.75,2566,61.57,Recruitment watchlist,40,162
398065,Harvey Barnes,27,Attack,Left Winger,Newcastle United,premier-league,England,1754,33,9,5,14,0.718,51.29,35.53,78.95,35000000,18000000,50.91,60000000,52.94,,,,4,73.33,14.7,52.94,8527,61.44,Consistent performer,41,164
776798,Abdallah Sima,24,Attack,Left Winger,Stade Brestois 29,ligue-1,France,1237,27,7,2,9,0.655,40.42,25,73.61,9000000,18000000,21.82,60000000,34.18,,,,2,53.9,27.88,34.18,3070,61.03,Recruitment watchlist,42,167
258923,Marcus Rashford,27,Attack,Left Winger,Manchester United,premier-league,England,1426,25,6,4,10,0.631,41.7,23.68,71.05,50000000,18000000,58.18,60000000,29.76,41.29,-10000000,-16.67,5,63.58,22.23,29.76,10752,60.23,Recruitment watchlist,43,177
405885,Giacomo Raspadori,25,Attack,Second Striker,SSC Napoli,serie-a,Italy,1097,26,6,1,7,0.574,32.08,12.16,77.03,25000000,18000000,41.21,60000000,58.82,18.21,0,0,5,57.93,15.91,35.53,7594,60,Recruitment watchlist,44,179
711337,Evanilson,25,Attack,Centre-Forward,AFC Bournemouth,premier-league,England,2336,31,10,5,15,0.578,68.3,67.11,63.16,35000000,18000000,50.91,60000000,,,,,1,63.16,,63.16,2336,59.87,Recruitment watchlist,45,180
776890,Nicolas Jackson,24,Attack,Centre-Forward,Chelsea FC,premier-league,England,2240,30,10,5,15,0.603,65.5,61.84,65.79,50000000,18000000,58.18,60000000,64.29,1.5,15000000,42.86,3,75.64,18.38,64.29,6652,59.26,Recruitment watchlist,46,183
583699,Andrej Ilic,25,Attack,Centre-Forward,1.FC Union Berlin,bundesliga,Germany,943,16,7,0,7,0.668,30.82,4.35,68.12,4000000,18000000,9.7,60000000,,,,,1,68.12,,68.12,943,55.98,Recruitment watchlist,47,197
459463,Cucho Hernández,26,Attack,Centre-Forward,Real Betis Balompié,laliga,Spain,1150,15,5,1,6,0.47,33.63,20.62,68.04,18000000,18000000,33.33,60000000,71.59,,,,3,58.12,20.33,34.74,3765,55.64,Recruitment watchlist,48,198
943837,Vitor Roque,20,Attack,Centre-Forward,Real Betis Balompié,laliga,Spain,1237,22,4,2,6,0.437,36.17,23.71,60.82,20000000,29000000,20,60000000,,,,,1,60.82,,60.82,1237,54.65,Emerging talent,49,203
596153,Justin Njinmah,24,Attack,Right Winger,SV Werder Bremen,bundesliga,Germany,945,26,3,4,7,0.667,30.88,5.8,66.67,7000000,18000000,18.79,60000000,72.73,-6.06,-2000000,-22.22,2,69.7,4.29,66.67,1957,53.27,Recruitment watchlist,50,207
576028,Thiago Almada,24,Attack,Left Winger,Olympique Lyon,ligue-1,France,949,16,1,5,6,0.569,31.01,6.94,68.06,25000000,18000000,41.21,60000000,,,,,1,68.06,,68.06,949,51.74,Recruitment watchlist,51,210
678406,Sergi Cardona,25,Defender,Left-Back,Villarreal CF,laliga,Spain,2955,35,1,7,8,0.244,86.4,90.24,95.12,10000000,13000000,29.06,40000000,59.23,35.89,4000000,66.67,2,77.18,25.38,59.23,5771,89.13,Potential value opportunity,1,2
469211,Liberato Cacace,24,Defender,Left-Back,FC Empoli,serie-a,Italy,2231,33,2,4,6,0.242,65.23,62.41,90.98,3000000,13000000,10.68,40000000,27.41,63.57,1000000,50,2,59.2,44.95,27.41,4141,86.37,Potential value opportunity,2,4
578391,Rayan Aït-Nouri,24,Defender,Left-Back,Wolverhampton Wanderers,premier-league,England,3128,37,4,7,11,0.316,91.46,89.92,97.48,35000000,13000000,63.25,40000000,60.32,37.16,0,0,5,80.05,16.84,60.32,9961,85.31,Established value,3,5
392966,Nadir Zortea,26,Defender,Right-Back,Cagliari Calcio,serie-a,Italy,2727,35,6,2,8,0.264,79.74,82.71,93.98,5000000,13000000,18.38,40000000,98.52,-4.54,2000000,66.67,3,92.85,6.31,86.05,5536,82.59,Potential value opportunity,4,8
349701,Antonee Robinson,27,Defender,Left-Back,Fulham FC,premier-league,England,3167,36,0,10,10,0.284,92.6,92.44,96.64,35000000,13000000,63.25,40000000,78.57,18.07,10000000,40,4,51.17,44.38,0,11688,82.53,Established value,5,9
385105,Gabriel Suazo,27,Defender,Left-Back,FC Toulouse,ligue-1,France,2161,30,0,6,6,0.25,70.62,69.44,90.74,4000000,13000000,13.68,40000000,73.45,17.29,500000,14.29,3,70.03,22.61,45.9,5781,82.3,Potential value opportunity,6,10
413507,Nikola Milenković,27,Defender,Centre-Back,Nottingham Forest,premier-league,England,3330,37,5,2,7,0.189,97.37,95.8,84.03,35000000,13000000,63.25,40000000,0,84.03,20000000,133.33,5,49.37,34.26,0,13936,81.69,Established value,7,12
477758,Aaron Wan-Bissaka,27,Defender,Right-Back,West Ham United,premier-league,England,3155,36,2,5,7,0.2,92.25,91.6,86.55,24000000,13000000,49.57,40000000,54.76,31.79,4000000,20,5,45.33,43.3,0,11227,81.43,Established value,8,14
453016,Anthony Caci,27,Defender,Right-Back,1.FSV Mainz 05,bundesliga,Germany,2705,33,1,7,8,0.266,88.4,89.09,85.45,12000000,13000000,32.91,40000000,69.57,15.88,5000000,71.43,5,68.76,15.93,42.42,12433,80.49,Potential value opportunity,9,17
711969,Lorenz Assignon,25,Defender,Right-Back,Stade Rennais FC,ligue-1,France,2363,32,3,4,7,0.267,77.22,77.78,91.67,9000000,13000000,28.63,40000000,88.89,2.78,-1000000,-10,2,90.28,1.97,88.89,4614,80.01,Potential value opportunity,10,21
284857,Marc Cucurella,26,Defender,Left-Back,Chelsea FC,premier-league,England,2992,36,5,2,7,0.211,87.49,81.51,89.92,35000000,13000000,63.25,40000000,54.76,35.16,10000000,40,5,65.08,22.43,31.78,12818,79.55,Established value,11,25
341227,Juan Miranda,25,Defender,Left-Back,Bologna Football Club 1909,serie-a,Italy,2277,31,0,6,6,0.237,66.58,63.91,90.23,15000000,13000000,38.89,40000000,60,30.23,6000000,66.67,4,83.09,16.33,60,7262,79.1,Potential value opportunity,12,27
369684,Rasmus Nissen Kristensen,27,Defender,Right-Back,Eintracht Frankfurt,bundesliga,Germany,2516,30,5,3,8,0.286,82.22,78.18,89.09,14000000,13000000,37.61,40000000,75.56,13.53,4000000,40,3,85.12,8.32,75.56,6220,79.07,Potential value opportunity,13,28
274461,Felix Passlack,27,Defender,Right-Back,VfL Bochum,bundesliga,Germany,2345,31,1,6,7,0.269,76.63,71.82,87.27,2000000,13000000,2.56,40000000,94.78,-7.51,200000,11.11,2,91.03,5.31,87.27,3312,78.99,Potential value opportunity,14,30
366930,Sergio Gómez,24,Defender,Left-Back,Real Sociedad,laliga,Spain,2745,37,2,5,7,0.23,80.26,82.93,93.5,20000000,13000000,45.73,40000000,,,,,1,93.5,,93.5,2745,78.98,Established value,15,31
676042,Juanlu Sánchez,21,Defender,Right-Back,Sevilla FC,laliga,Spain,1724,32,4,4,8,0.418,50.41,32.52,100,12000000,12500000,35.87,40000000,78.46,21.54,-3000000,-20,2,89.23,15.23,78.46,2897,76.85,High-upside candidate,16,40
527966,Andrei Rațiu,27,Defender,Right-Back,Rayo Vallecano,laliga,Spain,3067,35,2,3,5,0.147,89.68,94.31,79.67,12000000,13000000,32.91,40000000,,,,,1,79.67,,79.67,3067,76.26,Potential value opportunity,17,41
766583,Kike Salas,23,Defender,Centre-Back,Sevilla FC,laliga,Spain,2237,31,3,2,5,0.201,65.41,54.47,90.24,8000000,12500000,23.91,40000000,81.54,8.7,-2000000,-20,2,85.89,6.15,81.54,3843,76.23,High-upside candidate,18,42
494586,Mickaël Nadé,26,Defender,Centre-Back,AS Saint-Étienne,ligue-1,France,2278,26,1,3,4,0.158,74.44,74.07,76.85,2000000,13000000,2.56,40000000,24.03,,,,2,50.44,37.35,24.03,4846,75.36,Potential value opportunity,19,44
691892,Nathaniel Brown,22,Defender,Left-Back,Eintracht Frankfurt,bundesliga,Germany,1952,26,3,7,10,0.461,63.79,49.09,100,22000000,12500000,51.09,40000000,,,,,1,100,,100,1952,74.65,Established value,20,52
702441,Sinaly Diomandé,24,Defender,Centre-Back,AJ Auxerre,ligue-1,France,1945,23,3,2,5,0.231,63.56,50.93,88.89,5000000,13000000,18.38,40000000,0,,,,3,29.63,51.32,0,5021,74.37,Potential value opportunity,21,54
401529,Dodô,26,Defender,Right-Back,ACF Fiorentina,serie-a,Italy,3119,35,0,6,6,0.173,91.2,93.23,81.2,24000000,13000000,49.57,40000000,80.8,,,,2,81,0.28,80.8,5457,74.31,Established value,22,55
525299,Miguel Gutiérrez,23,Defender,Left-Back,Girona FC,laliga,Spain,2464,29,1,5,6,0.219,72.05,65.04,92.68,20000000,12500000,48.91,40000000,95.38,-2.7,-5000000,-20,3,93.22,1.95,91.6,7898,74.11,Consistent performer,23,57
553875,Pedro Porro,25,Defender,Right-Back,Tottenham Hotspur,premier-league,England,2609,33,2,6,8,0.276,76.29,67.23,94.96,38000000,13000000,67.09,40000000,94.44,0.52,-7000000,-15.56,3,96.47,3.07,94.44,6838,73.44,Consistent performer,24,62
314965,Pedro Pereira,27,Defender,Right-Back,AC Monza,serie-a,Italy,2674,35,1,3,4,0.135,78.19,79.7,69.92,1500000,13000000,0.85,40000000,71.54,,,,2,70.73,1.15,69.92,5234,73.27,Recruitment watchlist,25,63
420064,Caio Henrique,27,Defender,Left-Back,AS Monaco,ligue-1,France,1932,27,0,6,6,0.28,63.14,48.15,93.52,15000000,13000000,38.89,40000000,96.72,,,,4,93.57,5.12,86.36,9876,73.06,Potential value opportunity,26,64
798043,Tom Rothe,20,Defender,Left-Back,1.FC Union Berlin,bundesliga,Germany,1672,26,3,4,7,0.377,54.64,32.73,96.36,10000000,12500000,28,40000000,,,,,1,96.36,,96.36,1672,73.03,Potential value opportunity,27,65
633530,Jordan Zemura,25,Defender,Left-Back,Udinese Calcio,serie-a,Italy,1411,23,1,2,3,0.191,41.26,27.82,84.21,4500000,13000000,17.09,40000000,50.37,33.84,-500000,-10,3,62.43,18.9,50.37,3902,72.68,Potential value opportunity,28,66
826224,Arnau Martínez,22,Defender,Right-Back,Girona FC,laliga,Spain,2627,32,2,2,4,0.137,76.81,78.05,77.24,10000000,12500000,28.26,40000000,76.15,1.09,0,0,3,81.92,9.07,76.15,6605,72.65,High-upside candidate,29,67
1076815,Javi Rodríguez,22,Defender,Centre-Back,Celta de Vigo,laliga,Spain,2513,36,3,2,5,0.179,73.48,69.11,84.55,15000000,12500000,40.22,40000000,,,,,1,84.55,,84.55,2513,72.56,Established value,30,69
585982,Carlos Augusto,26,Defender,Left-Back,Inter Milan,serie-a,Italy,1681,29,3,4,7,0.375,49.15,36.84,96.99,26000000,13000000,57.26,40000000,78.52,18.47,4000000,18.18,3,90.77,10.61,78.52,6471,72.54,Consistent performer,31,70
461019,Samuele Birindelli,25,Defender,Right-Back,AC Monza,serie-a,Italy,1476,21,3,0,3,0.183,43.16,28.57,81.95,2800000,13000000,9.83,40000000,51.11,30.84,-700000,-20,3,68.35,15.74,51.11,4883,72.34,Potential value opportunity,32,71
459658,Andrea Cambiaso,25,Defender,Left-Back,Juventus FC,serie-a,Italy,2223,33,2,4,6,0.243,65,61.65,91.73,35000000,13000000,63.25,40000000,84.44,7.29,10000000,40,4,83.91,11.69,67.2,8572,72.3,Consistent performer,33,72
422466,Javi Hernández,27,Defender,Left-Back,CD Leganés,laliga,Spain,2391,31,2,1,3,0.113,69.91,60.98,72.36,2500000,13000000,6.41,40000000,61.54,10.82,0,0,3,76.44,17.3,61.54,6026,71.54,Recruitment watchlist,34,78
557613,Quentin Merlin,23,Defender,Left-Back,Olympique Marseille,ligue-1,France,1598,27,1,3,4,0.225,52.22,32.41,87.04,15000000,12500000,40.22,40000000,55.75,31.29,5000000,50,4,77.84,15.68,55.75,7320,71.16,High-upside candidate,35,82
568333,Adam Obert,22,Defender,Left-Back,Cagliari Calcio,serie-a,Italy,1076,21,1,1,2,0.167,31.46,8.27,80.45,3000000,12500000,5.43,40000000,0,80.45,-500000,-14.29,2,40.23,56.89,0,2016,71.06,High-upside candidate,36,83
597659,Charlie Cresswell,22,Defender,Centre-Back,FC Toulouse,ligue-1,France,2593,31,3,1,4,0.139,84.74,87.96,69.44,10000000,12500000,28.26,40000000,,,,,1,69.44,,69.44,2593,70.57,Recruitment watchlist,37,86
303219,Jeff Chabot,27,Defender,Centre-Back,VfB Stuttgart,bundesliga,Germany,2274,31,3,1,4,0.158,74.31,64.55,65.45,12000000,13000000,32.91,40000000,16.52,48.93,3000000,33.33,4,48.26,22.22,16.52,8442,70.54,Recruitment watchlist,38,87
674612,Youssouf Ndayishimiye,26,Defender,Centre-Back,OGC Nice,ligue-1,France,1934,23,3,0,3,0.14,63.2,49.07,71.3,12000000,13000000,32.91,40000000,0,71.3,-3000000,-20,2,35.65,50.42,0,3647,70.53,Recruitment watchlist,39,88
730893,Tyrick Mitchell,25,Defender,Left-Back,Crystal Palace,premier-league,England,3103,37,0,5,5,0.145,90.73,86.55,74.79,25000000,13000000,51.28,40000000,69.84,4.95,0,0,5,58.58,17.1,31.78,14022,70.26,Recruitment watchlist,40,90
370789,Julian Ryerson,27,Defender,Right-Back,Borussia Dortmund,bundesliga,Germany,2270,29,2,4,6,0.238,74.18,63.64,83.64,20000000,13000000,45.73,40000000,85.22,-1.58,0,0,5,67.9,19.96,38.1,8984,69.95,Established value,41,92
484988,Logan Costa,24,Defender,Centre-Back,Villarreal CF,laliga,Spain,2676,33,2,1,3,0.101,78.25,80.49,67.48,18000000,13000000,42.74,40000000,40.71,26.77,6000000,50,2,54.1,18.93,40.71,5321,69.94,Recruitment watchlist,42,93
346314,Trevoh Chalobah,25,Defender,Centre-Back,Crystal Palace,premier-league,England,1974,25,3,1,4,0.182,57.72,46.22,81.51,25000000,13000000,51.28,40000000,50.79,30.72,12000000,92.31,5,61.89,38.26,0,8214,69.42,Established value,43,96
392956,Enrico Delprato,25,Defender,Right-Back,Parma Calcio 1913,serie-a,Italy,2946,34,4,0,4,0.122,86.14,87.97,66.17,6500000,13000000,25.21,40000000,,,,,1,66.17,,66.17,2946,69.4,Recruitment watchlist,44,97
463605,Bafodé Diakité,24,Defender,Centre-Back,LOSC Lille,ligue-1,France,2767,31,4,1,5,0.163,90.42,98.15,77.78,28000000,13000000,57.69,40000000,98.23,-20.45,10000000,55.56,3,79.16,18.41,61.48,7118,69.3,Recruitment watchlist,45,99
670858,Lewis Hall,20,Defender,Left-Back,Newcastle United,premier-league,England,2193,27,0,5,5,0.205,64.12,53.78,88.24,32000000,12500000,56,40000000,,,,,1,88.24,,88.24,2193,68.98,Emerging talent,46,101
512352,Lasse Rosenboom,23,Defender,Right-Back,Holstein Kiel,bundesliga,Germany,1738,26,2,2,4,0.207,56.8,34.55,79.09,1500000,12500000,1.09,40000000,,,,,1,79.09,,79.09,1738,68.79,Potential value opportunity,47,105
601883,Matheus Nunes,26,Defender,Right-Back,Manchester City,premier-league,England,1672,26,1,6,7,0.377,48.89,32.77,98.32,35000000,13000000,63.25,40000000,60.47,,,,2,79.4,26.76,60.47,4150,68.73,Recruitment watchlist,48,106
654539,Adrien Truffert,23,Defender,Left-Back,Stade Rennais FC,ligue-1,France,2756,33,2,2,4,0.131,90.07,97.22,68.52,15000000,12500000,40.22,40000000,78.76,-10.24,-3000000,-16.67,5,86.18,12.03,68.52,10456,68.64,Consistent performer,49,107
574671,Strahinja Pavlović,24,Defender,Centre-Back,AC Milan,serie-a,Italy,1864,24,2,2,4,0.193,54.5,48.12,84.96,18000000,13000000,42.74,40000000,,,,,1,84.96,,84.96,1864,68.19,Established value,50,111
343959,Erhan Masovic,26,Defender,Centre-Back,VfL Bochum,bundesliga,Germany,907,16,1,1,2,0.198,29.64,0.91,75.45,2000000,13000000,2.56,40000000,0,75.45,-3000000,-60,4,36.48,42.18,0,6829,67.52,Potential value opportunity,51,116
441986,Yann Bisseck,24,Defender,Centre-Back,Inter Milan,serie-a,Italy,1639,27,3,2,5,0.275,47.92,35.34,94.74,35000000,13000000,63.25,40000000,95.56,-0.82,19000000,118.75,2,95.15,0.58,94.74,2539,67.33,Recruitment watchlist,52,118
346561,Luca Ranieri,26,Defender,Centre-Back,ACF Fiorentina,serie-a,Italy,3078,36,1,3,4,0.117,90,91.73,63.16,12000000,13000000,32.91,40000000,64.44,-1.28,4000000,50,3,53.64,17.6,33.33,7260,67.3,Recruitment watchlist,53,119
