club_id,club_name,competition_id,competition_name,country_name,valued_players,player_season_records,net_market_value_change_eur,gross_positive_growth_eur,gross_market_value_decline_eur,median_player_value_change_eur,high_growth_player_seasons,distinct_high_growth_players,total_high_growth_value_created_eur,club_net_growth_rank,club_gross_growth_rank,high_growth_player_development_rank
23826,RB Leipzig,L1,bundesliga,Germany,51,103,49125000,225125000,176000000,0,3,3,68000000,38,26,45
543,Wolverhampton Wanderers,GB1,premier-league,England,62,118,47400000,218800000,171400000,0,7,6,106000000,39,28,21
714,RCD Espanyol Barcelona,ES1,laliga,Spain,44,60,46900000,65200000,18300000,0,3,3,40000000,40,80,50
940,Celta de Vigo,ES1,laliga,Spain,59,107,43300000,119900000,76600000,0,4,4,69600000,41,61,39
472,UD Las Palmas,ES1,laliga,Spain,35,43,43000000,61800000,18800000,0,1,1,12500000,42,81,75
167,FC Augsburg,L1,bundesliga,Germany,66,131,41400000,114300000,72900000,0,2,2,29000000,43,62,58
3522,Spezia Calcio,IT1,serie-a,Italy,65,92,35050000,55300000,20250000,0,0,0,0,44,82,78
331,CA Osasuna,ES1,laliga,Spain,53,128,34900000,81050000,46150000,0,2,2,22000000,45,74,65
430,ACF Fiorentina,IT1,serie-a,Italy,65,113,32800000,168900000,136100000,-300000,5,5,117000000,46,41,27
1005,US Lecce,IT1,serie-a,Italy,49,69,31400000,52350000,20950000,0,0,0,0,47,86,78
252,Genoa CFC,IT1,serie-a,Italy,80,101,31200000,78700000,47500000,0,2,2,28000000,48,75,59
1031,Luton Town,GB1,premier-league,England,28,28,31200000,33700000,2500000,0,0,0,0,49,97,78
347,FC Metz,FR1,ligue-1,France,60,85,31100000,53950000,22850000,0,0,0,0,50,85,78
89,1.FC Union Berlin,L1,bundesliga,Germany,75,121,30825000,106125000,75300000,0,2,2,25000000,51,65,62
2036,1. Fußballclub Heidenheim 1846,L1,bundesliga,Germany,32,46,30300000,34050000,3750000,175000,0,0,0,52,96,78
416,Torino FC,IT1,serie-a,Italy,61,105,29425000,128925000,99500000,-100000,3,3,51000000,53,58,47
86,SV Werder Bremen,L1,bundesliga,Germany,54,100,29350000,82250000,52900000,0,0,0,0,54,71,78
16,Borussia Dortmund,L1,bundesliga,Germany,64,137,29050000,308450000,279400000,0,4,4,111000000,55,12,35
995,FC Nantes,FR1,ligue-1,France,64,125,27650000,77300000,49650000,0,0,0,0,56,76,78
82,VfL Wolfsburg,L1,bundesliga,Germany,58,116,27500000,170550000,143050000,0,6,6,94000000,57,40,24
131,FC Barcelona,ES1,laliga,Spain,57,101,26800000,480800000,454000000,-1000000,10,10,301000000,58,2,3
8970,Frosinone Calcio,IT1,serie-a,Italy,31,31,25450000,29050000,3600000,0,1,1,17000000,59,103,70
2919,AC Monza,IT1,serie-a,Italy,46,75,25250000,54700000,29450000,0,2,2,20500000,60,84,66
244,Olympique Marseille,FR1,ligue-1,France,76,116,22350000,138550000,116200000,0,3,3,33000000,61,53,53
618,AS Saint-Étienne,FR1,ligue-1,France,59,80,21750000,47950000,26200000,0,2,2,22500000,62,87,63
180,Southampton FC,GB1,premier-league,England,67,109,20450000,131650000,111200000,-150000,4,4,62000000,63,57,41
80,VfL Bochum,L1,bundesliga,Germany,61,103,19725000,47625000,27900000,0,0,0,0,64,89,78
1047,Como 1907,IT1,serie-a,Italy,26,26,19650000,32200000,12550000,-250000,1,1,20000000,65,98,69
3524,Clermont Foot 63,FR1,ligue-1,France,46,75,19500000,29550000,10050000,0,0,0,0,66,101,78
16795,Granada CF,ES1,laliga,Spain,69,94,18650000,42500000,23850000,0,0,0,0,67,92,78
367,Rayo Vallecano,ES1,laliga,Spain,42,85,15600000,55300000,39700000,0,0,0,0,68,83,78
738,Le Havre AC,FR1,ligue-1,France,31,42,11900000,22000000,10100000,-25000,0,0,0,69,106,78
5358,SD Huesca,ES1,laliga,Spain,26,26,11800000,17100000,5300000,0,0,0,0,70,114,78
150,Real Betis Balompié,ES1,laliga,Spain,57,118,11525000,144975000,133450000,0,4,4,58000000,71,47,44
237,RCD Mallorca,ES1,laliga,Spain,55,105,11100000,45600000,34500000,0,1,1,13000000,72,90,74
1420,Angers SCO,FR1,ligue-1,France,54,87,10800000,34650000,23850000,0,0,0,0,73,95,78
1108,Deportivo Alavés,ES1,laliga,Spain,62,89,9825000,44025000,34200000,0,0,0,0,74,91,78
1049,Valencia CF,ES1,laliga,Spain,62,115,9725000,186225000,176500000,0,5,5,75000000,75,33,32
1095,ESTAC Troyes,FR1,ligue-1,France,44,57,9650000,20200000,10550000,0,0,0,0,76,109,78
35,FC St. Pauli,L1,bundesliga,Germany,7,7,8000000,8000000,0,1000000,0,0,0,77,122,78
10,Arminia Bielefeld,L1,bundesliga,Germany,39,50,6050000,20800000,14750000,0,0,0,0,78,108,78
380,US Salernitana 1919,IT1,serie-a,Italy,68,92,5250000,47675000,42425000,-100000,1,1,13000000,79,88,74
3,1.FC Köln,L1,bundesliga,Germany,57,98,4275000,73925000,69650000,0,0,0,0,80,78,78
269,Holstein Kiel,L1,bundesliga,Germany,19,19,3750000,7850000,4100000,0,0,0,0,81,123,78
290,AJ Auxerre,FR1,ligue-1,France,34,37,3500000,8350000,4850000,0,0,0,0,82,120,78
130,Parma Calcio 1913,IT1,serie-a,Italy,45,47,2725000,40625000,37900000,-50000,1,1,13000000,83,93,74
2239,US Cremonese,IT1,serie-a,Italy,29,29,1350000,7500000,6150000,0,0,0,0,84,124,78
1531,Elche CF,ES1,laliga,Spain,48,78,950000,30700000,29750000,0,1,1,10000000,85,99,77
984,West Bromwich Albion,GB1,premier-league,England,27,27,600000,19900000,19300000,-300000,0,0,0,86,110,78
40,FC Girondins Bordeaux,FR1,ligue-1,France,39,52,600000,19000000,18400000,0,0,0,0,87,111,78
4083,FC Crotone,IT1,serie-a,Italy,28,28,500000,10250000,9750000,-100000,0,0,0,88,118,78
46,Inter Milan,IT1,serie-a,Italy,55,119,400000,286550000,286150000,-100000,3,3,61000000,89,16,46
65,SpVgg Greuther Fürth,L1,bundesliga,Germany,25,25,-200000,6350000,6550000,-50000,0,0,0,90,126,78
6574,US Sassuolo,IT1,serie-a,Italy,60,105,-900000,90850000,91750000,-150000,2,2,22200000,91,68,64
1147,AC Ajaccio,FR1,ligue-1,France,35,35,-1300000,1600000,2900000,-50000,0,0,0,92,131,78
6195,SSC Napoli,IT1,serie-a,Italy,50,107,-1600000,268200000,269800000,-500000,5,5,162000000,93,20,26
1160,Nîmes Olympique,FR1,ligue-1,France,32,32,-2650000,7050000,9700000,0,0,0,0,94,125,78
1390,Cagliari Calcio,IT1,serie-a,Italy,67,96,-3000000,66050000,69050000,0,0,0,0,95,79,78
677,Ipswich Town,GB1,premier-league,England,23,23,-3950000,17950000,21900000,-100000,0,0,0,96,113,78
1010,Watford FC,GB1,premier-league,England,24,24,-4200000,12500000,16700000,-200000,0,0,0,97,116,78
1244,CD Leganés,ES1,laliga,Spain,17,17,-5800000,4700000,10500000,0,0,0,0,98,127,78
105,SV Darmstadt 98,L1,bundesliga,Germany,30,30,-6300000,1500000,7800000,-100000,0,0,0,99,132,78
2969,Dijon FCO,FR1,ligue-1,France,28,28,-7625000,8350000,15975000,-12500,0,0,0,100,121,78
4171,Benevento Calcio,IT1,serie-a,Italy,28,28,-7920000,4105000,12025000,0,0,0,0,101,128,78
2687,Cádiz CF,ES1,laliga,Spain,71,122,-8050000,30050000,38100000,0,0,0,0,102,100,78
607,Venezia FC,IT1,serie-a,Italy,40,42,-8750000,10100000,18850000,-100000,0,0,0,103,119,78
366,Real Valladolid CF,ES1,laliga,Spain,69,86,-8875000,25225000,34100000,0,1,1,14000000,104,105,72
533,TSG 1899 Hoffenheim,L1,bundesliga,Germany,64,135,-10275000,121425000,131700000,-300000,4,4,61500000,105,60,42
1533,SD Eibar,ES1,laliga,Spain,25,25,-12200000,2400000,14600000,-500000,0,0,0,106,129,78
3368,Levante UD,ES1,laliga,Spain,35,56,-14575000,29425000,44000000,0,1,1,12500000,107,102,75
3302,UD Almería,ES1,laliga,Spain,36,51,-15700000,13800000,29500000,0,0,0,0,108,115,78
681,Real Sociedad,ES1,laliga,Spain,60,126,-19300000,183300000,202600000,0,4,4,61000000,109,36,43
3709,Getafe CF,ES1,laliga,Spain,74,123,-19800000,89250000,109050000,-100000,3,3,46000000,110,69,49
1038,UC Sampdoria,IT1,serie-a,Italy,51,74,-25150000,25950000,51100000,-200000,0,0,0,111,104,78
1123,Norwich City,GB1,premier-league,England,27,27,-26200000,2000000,28200000,-500000,0,0,0,112,130,78
350,Sheffield United,GB1,premier-league,England,45,57,-36150000,10950000,47100000,0,0,0,0,113,117,78
1003,Leicester City,GB1,premier-league,England,43,88,-36300000,144000000,180300000,-800000,5,5,54500000,114,49,34
12,Associazione Sportiva Roma,IT1,serie-a,Italy,71,130,-51700000,200300000,252000000,-400000,7,7,88000000,115,30,15
33,FC Schalke 04,L1,bundesliga,Germany,63,68,-51900000,21175000,73075000,-62500,0,0,0,116,107,78
1132,Burnley FC,GB1,premier-league,England,51,73,-52050000,18050000,70100000,-500000,0,0,0,117,112,78
583,Paris Saint-Germain,FR1,ligue-1,France,69,134,-53050000,366550000,419600000,-100000,6,6,159000000,118,6,17
44,Hertha BSC,L1,bundesliga,Germany,57,80,-59325000,34675000,94000000,-550000,0,0,0,119,94,78
18,Borussia Mönchengladbach,L1,bundesliga,Germany,52,121,-81300000,97600000,178900000,0,2,2,27000000,120,66,60
368,Sevilla FC,ES1,laliga,Spain,61,128,-81575000,139625000,221200000,-500000,4,4,85000000,121,52,36
398,Società Sportiva Lazio S.p.A.,IT1,serie-a,Italy,54,108,-90000000,93400000,183400000,-500000,3,2,35000000,122,67,56
29,Everton FC,GB1,premier-league,England,59,123,-91350000,135050000,226400000,-500000,3,3,51000000,123,55,47
379,West Ham United,GB1,premier-league,England,54,114,-114700000,135500000,250200000,-900000,2,2,32000000,124,54,57
631,Chelsea FC,GB1,premier-league,England,69,123,-123550000,362700000,486250000,-500000,6,6,164000000,125,7,16
281,Manchester City,GB1,premier-league,England,46,112,-132500000,420500000,553000000,0,9,9,218000000,126,5,6
13,Atlético de Madrid,ES1,laliga,Spain,46,104,-184425000,233375000,417800000,-2000000,8,8,155000000,127,24,9
27,Bayern Munich,L1,bundesliga,Germany,55,123,-184700000,278000000,462700000,0,2,2,72000000,128,17,54
148,Tottenham Hotspur,GB1,premier-league,England,49,104,-192200000,185500000,377700000,-100000,5,5,81000000,129,34,31
31,Liverpool FC,GB1,premier-league,England,47,127,-217700000,328800000,546500000,-500000,8,7,175000000,130,9,11
506,Juventus FC,IT1,serie-a,Italy,66,121,-228250000,190800000,419050000,0,4,4,84000000,131,31,37
985,Manchester United,GB1,premier-league,England,60,122,-270700000,268500000,539200000,-2000000,7,6,146500000,132,19,19
