player_id,player_name,position,sub_position,country_of_citizenship,qualified_seasons,first_qualified_season,last_qualified_season,qualified_season_labels,total_minutes,total_goals,total_assists,total_goal_contributions,average_goals_per_90,average_assists_per_90,average_goal_contributions_per_90,contributions_per_90_standard_deviation,minimum_contributions_per_90,maximum_contributions_per_90,sustained_position_rank,sustained_overall_rank,sustained_performance_profile
293385,Dani Olmo,Midfield,Attacking Midfield,Spain,4,2020,2024,"2020-21, 2022-23, 2023-24, 2024-25",6160,21,24,45,0.333,0.341,0.674,0.246,0.491,1.036,11,78,Moderate sustained performance
45320,Ángel Di María,Attack,Right Winger,Argentina,3,2020,2022,"2020-21, 2021-22, 2022-23",4883,14,23,37,0.259,0.41,0.669,0.126,0.528,0.772,68,79,High consistency
445939,Omar Marmoush,Attack,Centre-Forward,Egypt,4,2021,2024,"2021-22, 2022-23, 2023-24, 2024-25",8034,42,24,66,0.422,0.246,0.669,0.357,0.365,1.16,69,80,Moderate sustained performance
200512,Sadio Mané,Attack,Left Winger,Senegal,3,2020,2022,"2020-21, 2021-22, 2022-23",7068,34,17,51,0.434,0.232,0.667,0.078,0.608,0.755,70,81,High consistency
185077,Vincenzo Grifo,Attack,Left Winger,Italy,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",12350,49,42,91,0.359,0.308,0.667,0.083,0.548,0.74,71,82,High consistency
496094,Karim Adeyemi,Attack,Right Winger,Germany,3,2022,2024,"2022-23, 2023-24, 2024-25",3749,16,13,29,0.373,0.287,0.66,0.23,0.395,0.812,72,83,Moderate sustained performance
364135,Moise Kean,Attack,Centre-Forward,Italy,4,2020,2024,"2020-21, 2021-22, 2022-23, 2024-25",6513,43,6,49,0.567,0.087,0.654,0.077,0.547,0.73,73,84,High consistency
125103,Marvin Ducksch,Attack,Centre-Forward,Germany,3,2022,2024,"2022-23, 2023-24, 2024-25",8014,32,26,58,0.357,0.295,0.652,0.07,0.597,0.73,74,85,High consistency
278359,Borja Iglesias,Attack,Centre-Forward,Spain,4,2020,2024,"2020-21, 2021-22, 2022-23, 2024-25",7327,47,6,53,0.587,0.063,0.649,0.057,0.573,0.702,75,86,High consistency
28396,Edin Dzeko,Attack,Centre-Forward,Bosnia-Herzegovina,3,2020,2022,"2020-21, 2021-22, 2022-23",6026,29,15,44,0.429,0.22,0.649,0.096,0.542,0.727,76,87,High consistency
517894,Matheus Cunha,Attack,Centre-Forward,Brazil,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",9668,42,27,69,0.374,0.274,0.648,0.289,0.268,1.047,77,88,Moderate sustained performance
324358,Ollie Watkins,Attack,Centre-Forward,England,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",15256,75,34,109,0.445,0.201,0.647,0.21,0.396,0.893,78,89,Moderate sustained performance
395516,Moussa Diaby,Attack,Right Winger,France,4,2020,2023,"2020-21, 2021-22, 2022-23, 2023-24",10071,32,41,73,0.279,0.367,0.646,0.11,0.576,0.811,79,90,High consistency
585959,Arnaud Kalimuendo,Attack,Centre-Forward,France,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",10075,53,18,71,0.466,0.179,0.645,0.135,0.497,0.836,80,91,High consistency
462250,João Félix,Attack,Second Striker,Portugal,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",7089,33,18,51,0.415,0.227,0.642,0.172,0.401,0.856,81,92,Moderate sustained performance
368482,Riccardo Orsolini,Attack,Right Winger,Italy,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",9351,49,18,67,0.469,0.173,0.642,0.188,0.452,0.954,82,93,Moderate sustained performance
433177,Bukayo Saka,Attack,Right Winger,England,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",13421,52,42,94,0.34,0.301,0.642,0.22,0.316,0.881,83,94,Moderate sustained performance
296622,Marco Asensio,Midfield,Attacking Midfield,Spain,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",7492,33,18,51,0.397,0.241,0.638,0.226,0.336,0.941,12,95,Moderate sustained performance
73794,Duván Zapata,Attack,Centre-Forward,Colombia,4,2020,2023,"2020-21, 2021-22, 2022-23, 2023-24",8522,40,22,62,0.401,0.238,0.638,0.275,0.323,0.941,84,96,Moderate sustained performance
420002,Jean-Philippe Mateta,Attack,Centre-Forward,France,4,2020,2024,"2020-21, 2021-22, 2023-24, 2024-25",7310,43,9,52,0.522,0.104,0.626,0.156,0.47,0.827,85,97,Moderate sustained performance
418659,Amine Gouiri,Attack,Centre-Forward,Algeria,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",12442,57,29,86,0.414,0.206,0.62,0.122,0.433,0.775,86,98,High consistency
344888,Habib Diallo,Attack,Centre-Forward,Senegal,3,2020,2022,"2020-21, 2021-22, 2022-23",6890,40,6,46,0.532,0.086,0.618,0.166,0.437,0.762,87,99,Moderate sustained performance
398065,Harvey Barnes,Attack,Left Winger,England,4,2020,2024,"2020-21, 2021-22, 2022-23, 2024-25",8527,37,20,57,0.391,0.226,0.617,0.113,0.464,0.718,88,100,High consistency
120205,Michael Gregoritsch,Attack,Centre-Forward,Austria,3,2021,2023,"2021-22, 2022-23, 2023-24",5247,26,10,36,0.457,0.158,0.615,0.03,0.583,0.642,89,101,High consistency
134294,Danny Ings,Attack,Centre-Forward,England,3,2020,2022,"2020-21, 2021-22, 2022-23",5679,27,12,39,0.426,0.187,0.613,0.047,0.566,0.659,90,102,High consistency
237662,Breel Embolo,Attack,Centre-Forward,Switzerland,4,2020,2024,"2020-21, 2021-22, 2022-23, 2024-25",7277,32,17,49,0.392,0.222,0.613,0.083,0.537,0.69,91,103,High consistency
167329,Alassane Pléa,Attack,Centre-Forward,France,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",9481,36,29,65,0.336,0.274,0.611,0.188,0.349,0.799,92,104,Moderate sustained performance
46413,Ante Budimir,Attack,Centre-Forward,Croatia,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",10588,65,9,74,0.537,0.069,0.606,0.127,0.448,0.758,93,105,High consistency
252677,José Luis Morales,Attack,Centre-Forward,Spain,4,2020,2023,"2020-21, 2021-22, 2022-23, 2023-24",7420,40,11,51,0.509,0.095,0.604,0.058,0.523,0.66,94,106,High consistency
538874,Terem Moffi,Attack,Centre-Forward,Nigeria,4,2020,2023,"2020-21, 2021-22, 2022-23, 2023-24",9515,51,12,63,0.491,0.113,0.604,0.15,0.395,0.732,95,107,High consistency
134425,Raheem Sterling,Attack,Right Winger,England,4,2020,2023,"2020-21, 2021-22, 2022-23, 2023-24",8548,37,21,58,0.388,0.216,0.604,0.16,0.426,0.804,96,108,Moderate sustained performance
187492,Julian Brandt,Midfield,Attacking Midfield,Germany,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",10535,33,40,73,0.276,0.328,0.604,0.184,0.302,0.766,13,109,Moderate sustained performance
65278,Pedro,Attack,Right Winger,Spain,4,2020,2024,"2020-21, 2021-22, 2022-23, 2024-25",6624,28,14,42,0.424,0.18,0.604,0.213,0.427,0.91,97,110,Moderate sustained performance
331726,Tammy Abraham,Attack,Centre-Forward,England,4,2020,2024,"2020-21, 2021-22, 2022-23, 2024-25",7503,34,15,49,0.393,0.209,0.602,0.084,0.492,0.696,98,111,High consistency
315779,Christian Pulisic,Attack,Right Winger,United States,4,2020,2024,"2020-21, 2021-22, 2023-24, 2024-25",8136,33,24,57,0.359,0.238,0.597,0.214,0.311,0.795,99,112,Moderate sustained performance
480692,Luis Díaz,Attack,Left Winger,Colombia,4,2021,2024,"2021-22, 2022-23, 2023-24, 2024-25",7019,29,17,46,0.373,0.223,0.596,0.132,0.442,0.746,100,113,High consistency
181378,Gaëtan Laborde,Attack,Centre-Forward,France,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",12870,62,25,87,0.428,0.168,0.596,0.158,0.329,0.734,101,114,Moderate sustained performance
412363,Rodrygo,Attack,Right Winger,Brazil,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",9242,30,31,61,0.264,0.33,0.593,0.066,0.522,0.68,102,115,High consistency
157635,Yussuf Poulsen,Attack,Centre-Forward,Denmark,3,2020,2023,"2020-21, 2021-22, 2023-24",3641,16,8,24,0.402,0.188,0.59,0.073,0.52,0.666,103,116,High consistency
197838,Jamie Vardy,Attack,Centre-Forward,England,4,2020,2024,"2020-21, 2021-22, 2022-23, 2024-25",9340,42,19,61,0.414,0.177,0.59,0.251,0.34,0.848,104,117,Moderate sustained performance
315110,Karl Toko Ekambi,Attack,Centre-Forward,Cameroon,3,2020,2022,"2020-21, 2021-22, 2022-23",7467,33,16,49,0.395,0.191,0.586,0.139,0.425,0.668,105,118,High consistency
237164,Ihlas Bebou,Attack,Centre-Forward,Togo,4,2020,2023,"2020-21, 2021-22, 2022-23, 2023-24",7367,30,18,48,0.374,0.212,0.586,0.142,0.427,0.717,106,119,High consistency
279455,Harry Wilson,Attack,Right Winger,Wales,3,2022,2024,"2022-23, 2023-24, 2024-25",3870,12,13,25,0.284,0.3,0.584,0.033,0.558,0.621,107,120,High consistency
388165,Yoane Wissa,Attack,Centre-Forward,DR Congo,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",10995,55,17,72,0.448,0.134,0.581,0.091,0.503,0.737,108,121,High consistency
433049,Youssef En-Nesyri,Attack,Centre-Forward,Morocco,4,2020,2023,"2020-21, 2021-22, 2022-23, 2023-24",7827,47,5,52,0.511,0.066,0.578,0.104,0.489,0.7,109,122,High consistency
266302,Sergej Milinković-Savić,Midfield,Central Midfield,Serbia,3,2020,2022,"2020-21, 2021-22, 2022-23",8894,28,29,57,0.282,0.294,0.577,0.067,0.505,0.637,14,123,High consistency
111078,Emil Forsberg,Attack,Left Winger,Sweden,3,2020,2022,"2020-21, 2021-22, 2022-23",4741,19,11,30,0.362,0.213,0.575,0.141,0.421,0.697,110,124,High consistency
263918,Aleksandr Golovin,Midfield,Attacking Midfield,Russia,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",8371,25,26,51,0.275,0.3,0.574,0.356,0.234,1.175,15,125,Moderate sustained performance
314875,Jarrod Bowen,Attack,Right Winger,England,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",14809,55,39,94,0.335,0.237,0.572,0.17,0.334,0.722,111,126,Moderate sustained performance
413039,Bryan Mbeumo,Attack,Right Winger,Cameroon,4,2021,2024,"2021-22, 2022-23, 2023-24, 2024-25",11222,42,29,71,0.335,0.237,0.572,0.18,0.34,0.737,112,127,Moderate sustained performance
122155,Willian José,Attack,Centre-Forward,Brazil,3,2020,2023,"2020-21, 2021-22, 2023-24",5392,23,11,34,0.386,0.184,0.57,0.235,0.3,0.727,113,128,Moderate sustained performance
298976,Borja Mayoral,Attack,Centre-Forward,Spain,5,2020,2024,"2020-21, 2021-22, 2022-23, 2023-24, 2024-25",8760,44,9,53,0.467,0.099,0.566,0.18,0.324,0.801,114,129,Moderate sustained performance
228645,Wout Weghorst,Attack,Centre-Forward,Netherlands,3,2020,2023,"2020-21, 2021-22, 2023-24",7946,35,16,51,0.389,0.177,0.566,0.281,0.359,0.885,115,130,Moderate sustained performance
